date,country_name,cluster_name,contributor_name,market,Camel,Camel - Grade,Camel Price,Camel Image,Cattle,Cattle - Grade,Cattle - Price,Cattle Image,Goat,Goat - Grade,Goat - Price,Goat Image,Sheep,Sheep - Grade,Sheep Price,Sheep Image,gps_latitude,gps_longitude,gps_altitude,_review_status
2022-04-02,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1500,http://classic.ona.io/api/v1/files/25917703?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1648881927498.jpg,Yes,Moderate (Grade 2),1300,http://classic.ona.io/api/v1/files/25917704?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1648881955775.jpg,2.010495,37.50401833,549.7,Accepted
2022-03-12,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/25330079?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1647068914048.jpg,Yes,Moderate (Grade 2),1400,http://classic.ona.io/api/v1/files/25330080?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1647068942676.jpg,2.0104214,37.5040416,553.4,Accepted
2022-05-28,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2500,http://classic.ona.io/api/v1/files/26853963?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1653722652634.jpg,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26853964?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1653722682562.jpg,2.010255,37.50365333,541.6,Accepted
2022-04-09,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26050422?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1649487458466.jpg,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/26050423?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1649487492271.jpg,2.01011,37.50396,565.9,Accepted
2022-04-30,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2500,http://classic.ona.io/api/v1/files/26387313?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651300852009.jpg,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/26387314?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651300884271.jpg,2.010368333,37.50387667,548.2,Accepted
2022-03-12,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/25330095?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1647069081707.jpg,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/25330094?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1647069128746.jpg,2.0103859,37.5040116,552.9,Accepted
2022-05-14,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2300,http://classic.ona.io/api/v1/files/26559843?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1652510631204.jpg,Yes,Moderate (Grade 2),2500,http://classic.ona.io/api/v1/files/26559844?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1652510670887.jpg,2.010305,37.504005,541.6,Accepted
2022-05-28,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2600,http://classic.ona.io/api/v1/files/26853960?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1653722507965.jpg,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/26853959?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1653722533974.jpg,2.010363333,37.503545,540.6,Accepted
2022-01-22,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/24424127?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1642835584571.jpg,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/24424128?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1642835603626.jpg,2.0104331,37.5042365,481.5,Accepted
2022-02-19,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/24826187?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1645254792550.jpg,Yes,Moderate (Grade 2),2800,http://classic.ona.io/api/v1/files/24826188?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1645254827841.jpg,2.0104158,37.5040768,553.7,Accepted
