Crop ,Indicator,Indicator Name,Region Name,province_id,Region - RegionId,Scale,Units,2011,2012,2013,2014,2015,2016,2017
Sorghum,Area Planted,Sorghum Area Planted,Muchinga Province,34,ZM-10,units,Ha,,2681.03,2909.053827,2294.226819,1772.425999,1828.173941,3192.812487
Sorghum,Area Planted,Sorghum Area Planted,Northern Province,35,ZM-05,units,Ha,1220.796557,232.26,74.42913006,506.2715044,510.7758686,636.2136917,298.3719304
Sorghum,Area Planted,Sorghum Area Planted,North-Western Province,36,ZM-06,units,Ha,1667.588638,1761.21,1457.53718,1324.697861,1021.790859,1810.766769,2021.412333
Sorghum,Area Planted,Sorghum Area Planted,Southern Province,37,ZM-07,units,Ha,14226.112,7067.63,13147.2329,8902.832841,13824.01814,18677.62266,17925.85018
Sorghum,Area Planted,Sorghum Area Planted,Western Province,38,ZM-01,units,Ha,2659.880919,4093.65,2437.619214,1761.304015,4719.083544,7691.977023,5700.084025
Sorghum,Area Planted,Sorghum Expected Production,Zambia,,ZM,units,Mt,1322.357951,15379.28385,14123.86771,11380.71247,7686.173252,13844.49788,16855.99192
Sorghum,Expected Production,Sorghum Expected Production,Central Province,29,ZM-02,units,Mt,1322.357951,1110.415564,622.2295485,436.7899306,374.4536596,781.4224849,1477.032187
Sorghum,Expected Production,Sorghum Expected Production,Copperbelt Province,30,ZM-08,units,Mt,1397.525263,678.7455123,519.8708774,587.4519835,173.323241,311.0522702,559.013444
Sorghum,Expected Production,Sorghum Expected Production,Eastern Province,31,ZM-03,units,Mt,2392.192542,6.703658987,18.04625921,200.240892,181.1498016,25.32413412,5.073727434
Sorghum,Expected Production,Sorghum Expected Production,Luapula Province,32,ZM-04,units,Mt,1061.7187,345.1180759,232.1143355,104.7496527,262.4759504,191.414752,146.6743256
Sorghum,Expected Production,Sorghum Expected Production,Lusaka Province,33,ZM-09,units,Mt,149.359821,538.8238929,880.8459675,246.5960016,477.4171381,444.173838,478.5566094
Sorghum,Expected Production,Sorghum Expected Production,Muchinga Province,34,ZM-10,units,Mt,,2705.235571,3441.774296,3118.548884,1724.071536,1541.528257,2964.119531
Sorghum,Expected Production,Sorghum Expected Production,Northern Province,35,ZM-05,units,Mt,879.72,185.1339487,42.12215149,283.5483474,265.0952895,248.7392709,241.4603325
Sorghum,Expected Production,Sorghum Expected Production,North-Western Province,36,ZM-06,units,Mt,1281.59,1402.506568,1427.981506,1037.93238,781.4080349,1215.526914,1270.057515
Sorghum,Expected Production,Sorghum Expected Production,Southern Province,37,ZM-07,units,Mt,8506.47,6818.134472,6064.811456,4610.164625,2766.341749,6631.658995,7511.974733
Sorghum,Expected Production,Sorghum Expected Production,Western Province,38,ZM-01,units,Mt,1466.57,1588.466582,874.0713171,754.689769,680.4368514,2453.656961,2202.029511
Sorghum,Expected Production,Sorghum Yield Rate,Zambia,,ZM,units,MT/HA,0.687340144,0.823075445,0.62122013,0.676259947,0.321921352,0.419631483,0.503130517
Sorghum,Yield Rate,Sorghum Yield Rate,Central Province,29,ZM-02,units,MT/HA,0.768324264,1.339599276,1.011547025,0.673527052,0.791989153,0.606867371,0.506101498
Sorghum,Yield Rate,Sorghum Yield Rate,Copperbelt Province,30,ZM-08,units,MT/HA,0.894717374,0.715294446,0.814108891,0.959528573,0.316956921,0.862992619,0.668998103
Sorghum,Yield Rate,Sorghum Yield Rate,Eastern Province,31,ZM-03,units,MT/HA,1.26573657,0.552,0.275332361,1.005894449,0.8647545,0.246948232,0.96
Sorghum,Yield Rate,Sorghum Yield Rate,Luapula Province,32,ZM-04,units,MT/HA,0.893132172,0.967349056,1.237023459,0.555180743,1.298818091,0.79170022,0.678496387
Sorghum,Yield Rate,Sorghum Yield Rate,Lusaka Province,33,ZM-09,units,MT/HA,0.208209469,0.76685117,0.732250027,0.630545202,0.800184013,1.251576879,1.232805116
Sorghum,Yield Rate,Sorghum Yield Rate,Muchinga Province,34,ZM-10,units,MT/HA,,1.009030002,1.183124995,1.359302776,0.972718487,0.843206559,0.928372569
Sorghum,Yield Rate,Sorghum Yield Rate,Northern Province,35,ZM-05,units,MT/HA,0.720611774,0.797107064,0.565936367,0.56007171,0.519005117,0.39096812,0.809259545
Sorghum,Yield Rate,Sorghum Yield Rate,North-Western Province,36,ZM-06,units,MT/HA,0.76853132,0.796331868,0.979722181,0.783523859,0.764743615,0.671277458,0.628302051
Sorghum,Yield Rate,Sorghum Yield Rate,Southern Province,37,ZM-07,units,MT/HA,0.597947396,0.964698594,0.461299461,0.517831201,0.200111264,0.355059052,0.419058212
Sorghum,Yield Rate,Sorghum Yield Rate,Western Province,38,ZM-01,units,MT/HA,0.551365356,0.388032286,0.358575824,0.428483534,0.144188346,0.318989117,0.386315272
Sorghum,Yield Rate,Sorghum Expected Sales,Zambia,,ZM,units,Mt,2784.271989,4144.73509,3468.368485,2220.616691,1079.314885,2399.721334,3109.422173
Sorghum,Expected Sales,Sorghum Expected Sales,Central Province,29,ZM-02,units,Mt,378.0890983,606.8198357,336.7361662,127.9956962,90.8341154,267.5816609,372.9012089
Sorghum,Expected Sales,Sorghum Expected Sales,Copperbelt Province,30,ZM-08,units,Mt,45.87324997,159.8147887,93.05813866,87.32173619,54.09112862,44.10505546,237.9113272
Sorghum,Expected Sales,Sorghum Expected Sales,Eastern Province,31,ZM-03,units,Mt,81.82669484,4.469105991,9.023129606,10.37125862,24.44127435,7.262666431,0
Sorghum,Expected Sales,Sorghum Expected Sales,Luapula Province,32,ZM-04,units,Mt,184.2310166,28.55798498,81.00955261,20.93915074,52.88442578,18.60300027,40.19494394
Sorghum,Expected Sales,Sorghum Expected Sales,Lusaka Province,33,ZM-09,units,Mt,20.9696755,128.3344295,255.5491638,147.8342987,179.1887669,263.0979355,355.0231152
Sorghum,Expected Sales,Sorghum Expected Sales,Muchinga Province,34,ZM-10,units,Mt,,277.5854826,254.9179706,385.6253669,138.555711,75.94957549,212.8734762
Sorghum,Expected Sales,Sorghum Expected Sales,Northern Province,35,ZM-05,units,Mt,283.3152081,38.0471663,12.09907855,110.4896901,99.53724757,98.28579472,25.7114727
Sorghum,Expected Sales,Sorghum Expected Sales,North-Western Province,36,ZM-06,units,Mt,308.6557967,347.5751663,422.9902641,203.9018429,183.1025006,188.6049736,199.5338749
Sorghum,Expected Sales,Sorghum Expected Sales,Southern Province,37,ZM-07,units,Mt,1148.484296,2478.320686,1963.682374,1048.357593,165.4481671,1138.435163,1437.984203
Sorghum,Expected Sales,Sorghum Expected Sales,Western Province,38,ZM-01,units,Mt,332.8269531,75.21044371,39.30264689,77.78005774,91.23154745,297.7955089,227.2885516
Sorghum,Expected Sales,Rice Area Planted,Zambia,,ZM,units,Ha,33995.16223,31388.14204,38520.13468,40974.45463,42983.97407,25594.56983,33303.39338
Rice,Area Planted,Rice Area Planted,Central Province,29,ZM-02,units,Ha,305.2310613,4.353890969,2.611445614,30.12164057,16.4339243,18.39509671,96.69731642
Rice,Area Planted,Rice Area Planted,Copperbelt Province,30,ZM-08,units,Ha,18.15183045,40.59423567,27.36520735,2.696804958,35.82538543,27.24992002,86.9056106
Rice,Area Planted,Rice Area Planted,Eastern Province,31,ZM-03,units,Ha,2650.086428,2096.045276,1283.333676,823.2828425,1051.084624,1541.17428,1529.427165
Rice,Area Planted,Rice Area Planted,Luapula Province,32,ZM-04,units,Ha,1191.791115,1681.624073,1814.388042,1329.934853,1826.627512,2046.027208,2356.970494
Rice,Area Planted,Rice Area Planted,Lusaka Province,33,ZM-09,units,Ha,124.8063165,58.9638864,20.85603811,31.66686942,14.34579849,5.277687864,2.387033967
Rice,Area Planted,Rice Area Planted,Muchinga Province,34,ZM-10,units,Ha,,5005.0924,6203.594463,4325.162757,3760.024318,3063.198768,5525.130229
Rice,Area Planted,Rice Area Planted,Northern Province,35,ZM-05,units,Ha,14995.20421,7839.820434,13544.42854,15185.3043,10501.77116,9717.832736,11433.28377
Rice,Area Planted,Rice Area Planted,North-Western Province,36,ZM-06,units,Ha,648.6087944,319.1349503,238.3681269,275.3880981,242.7153301,294.3966257,355.4445456
Rice,Area Planted,Rice Area Planted,Southern Province,37,ZM-07,units,Ha,,74.00426043,43.30408165,65.46373591,,4.452542752,
Rice,Area Planted,Rice Area Planted,Western Province,38,ZM-01,units,Ha,14061.28248,14268.50864,15341.88506,18905.43273,25535.14601,8876.564965,11917.14722
Rice,Area Planted,Rice Expected Production,Zambia,,ZM,units,Mt,49410.24942,45320.89013,,49639.63318,25513.74562,26675.00819,38422.90331
Rice,Expected Production,Rice Expected Production,Central Province,29,ZM-02,units,Mt,610.4769343,14.79161892,2.11452482,17.85119414,1.993075786,20.53075568,51.88462365
Rice,Expected Production,Rice Expected Production,Copperbelt Province,30,ZM-08,units,Mt,43.0485858,71.30251501,29.95352243,4.238742852,18.25729996,21.41523127,212.6996379
Rice,Expected Production,Rice Expected Production,Eastern Province,31,ZM-03,units,Mt,4417.648252,2361.434963,2423.629939,900.3685546,2082.299964,2154.189152,2260.465468
Rice,Expected Production,Rice Expected Production,Luapula Province,32,ZM-04,units,Mt,2652.247031,3490.152803,3537.320824,2254.432491,1720.304522,3591.171374,4440.791336
Rice,Expected Production,Rice Expected Production,Lusaka Province,33,ZM-09,units,Mt,203.9699236,45.15232063,22.82587187,36.52785273,9.081999746,1.036910439,0.424892046
Rice,Expected Production,Rice Expected Production,Muchinga Province,34,ZM-10,units,Mt,,8622.256012,9266.756442,6928.632524,6905.562464,3572.566389,10408.48622
Rice,Expected Production,Rice Expected Production,Northern Province,35,ZM-05,units,Mt,25906.01916,13105.83429,13557.04392,18169.24074,10170.59352,10212.48572,9507.82564
Rice,Expected Production,Rice Expected Production,North-Western Province,36,ZM-06,units,Mt,814.3638865,664.5501736,400.6947541,445.6089589,222.5047303,446.7719669,448.7321046
Rice,Expected Production,Rice Expected Production,Southern Province,37,ZM-07,units,Mt,,44.79764562,16.9696233,21.22464768,,2.160967416,
Rice,Expected Production,Rice Expected Production,Western Province,38,ZM-01,units,Mt,14762.47564,16900.6178,15489.85951,20861.50748,4383.148043,6652.679723,11091.59339
Rice,Expected Production,Rice Yield Rate,Zambia,,ZM,units,MT/HA,1.453449437,1.443885722,1.161656607,1.211477581,0.59356414,1.042213577,1.153723372
Rice,Yield Rate,Rice Yield Rate,Central Province,29,ZM-02,units,MT/HA,2.000048526,3.397333333,0.809714286,0.592636849,0.121278141,1.116099361,0.536567359
Rice,Yield Rate,Rice Yield Rate,Copperbelt Province,30,ZM-08,units,MT/HA,2.371583733,1.756468962,1.094584158,1.571764706,0.50961908,0.785882353,2.447478781
